user_id,line_no,station_no,on_site_time,lng,lat,run_id,station_id,dest,transfer
5.45048E+22,251,14,,109.40553,24.30687,18745906,27444,1,0
5.45048E+22,281,18,1602250265,109.40553,24.30687,18743899,28262,0,0
5.45048E+22,301,32,1602209752,109.43457,24.29667,18741443,25807,0,0
5.45048E+22,101,8,1602220790,109.33313,24.26197,18743015,27567,0,0
5.45048E+22,621,21,1602205128,109.43664,24.3256,18741103,25878,0,0
5.45048E+22,811,40,1602220293,109.38625,24.28825,18742578,28155,0,0
5.45048E+22,641,5,1602206637,109.38069,24.2749,18741595,28018,0,0
5.45048E+22,681,15,1602225454,109.39497,24.30618,18741192,19657,0,0
5.45048E+22,51,24,1602201808,109.40962,24.33337,18740040,31150,0,0
5.45048E+22,51,30,,109.40672,24.3656,18740040,31150,1,0
5.45048E+22,51,5,1602240799,109.40672,24.3656,18745449,31131,0,0
5.45048E+22,1001,34,1602240704,109.41621,24.31892,18744982,31461,0,0
5.45048E+22,8005,13,1602197922,109.43601,24.31778,18739856,24298,0,0
5.45048E+22,8008,24,1602219334,109.39926,24.3146,18742315,31672,0,0
5.45048E+22,411,5,1602239414,109.42902,24.28229,18745376,28200,0,0
5.45048E+22,411,33,1602218631,109.38043,24.27673,18742602,28228,0,0
5.45048E+22,821,3,1602213982,109.43611,24.37944,18741829,29984,0,0
5.45048E+22,821,30,,109.42724,24.35423,18741829,29984,1,0
5.45048E+22,821,30,1602241571,109.42724,24.35423,18744241,30011,0,0
5.45048E+22,301,21,1602227062,109.41267,24.31505,18743609,25796,0,0
5.45048E+22,8001,19,1602206533,109.45593,24.32722,18741172,29726,0,0
5.45048E+22,31,34,1602203075,109.4057,24.38414,18739943,26567,0,0
5.45048E+22,31,41,,109.40452,24.32127,18739943,26567,1,1
5.45048E+22,301,19,1602204863,109.40452,24.32127,18740748,25794,0,0
5.45048E+22,341,23,1602226915,109.4402,24.32602,18743551,25551,0,0
5.45048E+22,8001,7,1602238532,109.56367,24.38565,18744978,29714,0,0
5.45048E+22,111,3,1602212694,109.36112,24.3288,18742262,28775,0,0
5.45048E+22,101,12,1602224364,109.36188,24.31064,18743251,27571,0,0
5.45048E+22,101,19,,109.40867,24.31892,18743251,27571,1,0
5.45048E+22,101,19,1602230935,109.40867,24.31892,18744170,27578,0,0
5.45048E+22,751,49,1602241704,109.40573,24.3848,18744793,27747,0,0
5.45048E+22,521,3,1602205835,109.39605,24.35126,18741356,14063,0,0
5.45048E+22,521,18,,109.42529,24.33792,18741356,14063,1,0
5.45048E+22,521,18,1602236643,109.42529,24.33792,18744438,14078,0,0
5.45048E+22,8003,9,1602230189,109.45583,24.31373,18744297,19208,0,0
5.45048E+22,751,9,1602216966,109.39818,24.36445,18742644,27707,0,0
5.45048E+22,751,38,,109.42719,24.35515,18742644,27707,1,0
5.45048E+22,751,38,1602224039,109.42719,24.35515,18743025,27736,0,0
5.45048E+22,751,45,,109.39281,24.37686,18743025,27736,1,1
5.45048E+22,291,43,1602225803,109.39281,24.37686,18742418,30644,0,0
5.45048E+22,8001,13,1602235314,109.50817,24.36519,18744673,29720,0,0
5.45048E+22,241,24,1602226358,109.40992,24.33773,18743434,30467,0,0
5.45048E+22,751,17,1602206671,109.42317,24.3474,18740946,27715,0,0
5.45048E+22,751,19,,109.43034,24.3414,18740946,27715,1,1
5.45048E+22,761,15,1602209560,109.43034,24.3414,18741590,31722,0,0
5.45048E+22,281,4,1602206322,109.38065,24.27568,18741480,28248,0,0
5.45048E+22,121,14,1602219649,109.42488,24.31115,18742900,31837,0,0
5.45048E+22,8002,1,1602198949,109.43237,24.36184,18739838,17233,0,0
5.45048E+22,251,5,1602236442,109.39203,24.27291,18745052,27439,0,0
5.45048E+22,251,16,,109.40842,24.31878,18745052,27439,1,0
5.45048E+22,41,16,1602251514,109.40842,24.31878,18745860,26423,0,0
5.45048E+22,121,25,1602197342,109.41191,24.30804,18740109,31848,0,0
5.45048E+22,361,13,1602236253,109.40459,24.32159,18744856,27425,0,0
5.45048E+22,61,11,1602244792,109.41084,24.32884,18745910,11109,0,0
5.45048E+22,271,25,1602223855,109.40088,24.33683,18743082,24897,0,0
5.45048E+22,821,21,1602200876,109.40807,24.32565,18740390,30002,0,0
5.45048E+22,821,26,,109.42337,24.34434,18740390,30002,1,0
5.45048E+22,261,12,1602215821,109.42337,24.34434,18742478,12330,0,0
5.45048E+22,261,23,,109.40834,24.32445,18742478,12330,1,0
5.45048E+22,821,21,1602230649,109.40834,24.32445,18743814,30002,0,0
5.45048E+22,821,26,,109.42286,24.3443,18743814,30002,1,0
5.45048E+22,261,12,1602238279,109.42286,24.3443,18745247,12330,0,0
5.45048E+22,8005,13,1602237681,109.43599,24.31798,18744289,24298,0,0
5.45048E+22,8005,38,,109.42705,24.32703,18744289,24298,1,1
5.45048E+22,8005,38,1602239341,109.42705,24.32703,18744286,24325,0,0
5.45048E+22,8005,19,1602221714,109.42691,24.33948,18742703,24304,0,0
5.45048E+22,8005,41,,109.43596,24.32122,18742703,24304,1,1
5.45048E+22,8005,14,1602224311,109.43596,24.32122,18743527,24299,0,0
5.45048E+22,521,4,1602202931,109.39833,24.35067,18740977,14064,0,0
5.45048E+22,521,18,,109.4241,24.34114,18740977,14064,1,0
5.45048E+22,611,25,1602238428,109.4241,24.34114,18744182,27689,0,0
5.45048E+22,381,4,1602197923,109.39828,24.35121,18739962,24731,0,0
5.45048E+22,131,21,1602239715,109.25896,24.36885,18745033,29057,0,0
5.45048E+22,131,38,,109.37423,24.33837,18745033,29057,1,1
5.45048E+22,291,30,1602242618,109.37423,24.33837,18744043,30631,0,0
5.45048E+22,231,36,1602199473,109.436,24.31814,18740171,24273,0,0
5.45048E+22,391,7,1602197514,109.39409,24.3653,18740058,31167,0,0
5.45048E+22,391,19,,109.41248,24.31854,18740058,31167,1,0
5.45048E+22,391,19,1602239354,109.41248,24.31854,18744975,31179,0,0
5.45048E+22,301,18,1602237239,109.4073,24.32272,18744748,25793,0,0
5.45048E+22,711,39,1602208859,109.33199,24.26017,18741160,28108,0,0
5.45048E+22,281,16,1602223606,109.40443,24.32134,18743246,28260,0,0
5.45048E+22,8005,32,1602223587,109.42886,24.35537,18743001,24319,0,0
5.45048E+22,8005,46,1602200241,109.43461,24.29449,18739860,24333,0,0
